iter	Passed	Remaining
180	580	2627
181	585	2632
182	589	2632
183	600	2660
184	605	2665
185	610	2669
186	612	2662
187	615	2660
188	618	2652
189	620	2644
190	622	2637
191	624	2629
192	626	2621
193	629	2614
194	632	2612
195	635	2605
196	637	2597
197	639	2590
198	641	2583
199	644	2577
200	647	2574
201	650	2568
202	652	2561
203	654	2554
204	656	2547
205	659	2541
206	661	2534
207	664	2531
208	667	2524
209	669	2517
210	671	2511
211	673	2505
212	676	2498
213	679	2495
214	682	2490
215	684	2483
216	686	2477
217	688	2471
218	691	2464
219	693	2457
220	696	2456
221	699	2449
222	701	2444
223	703	2438
224	706	2431
225	708	2425
226	711	2422
227	713	2417
228	716	2411
229	718	2406
230	721	2400
231	723	2394
232	725	2389
233	728	2386
234	732	2384
235	735	2379
236	737	2374
237	740	2369
238	743	2368
239	746	2364
240	749	2359
241	751	2354
242	753	2348
243	756	2343
244	760	2344
245	763	2339
246	765	2333
247	768	2329
248	770	2323
249	772	2318
250	776	2318
251	779	2313
252	781	2308
253	784	2303
254	786	2298
255	789	2294
256	793	2292
257	795	2287
258	797	2282
259	800	2277
260	802	2271
261	804	2266
262	808	2264
263	810	2259
264	812	2254
265	815	2249
266	817	2244
267	819	2239
268	822	2234
269	825	2231
270	827	2226
271	830	2221
272	832	2216
273	834	2211
274	837	2206
275	840	2204
276	842	2199
277	845	2195
278	847	2190
279	850	2185
280	852	2181
281	856	2179
282	858	2174
283	861	2172
284	864	2167
285	866	2163
286	868	2158
287	872	2157
288	875	2154
289	878	2149
290	880	2145
291	882	2140
292	885	2136
293	889	2135
294	891	2130
295	893	2125
296	896	2121
297	898	2116
298	900	2111
299	904	2111
300	907	2107
301	909	2103
302	912	2098
303	914	2093
304	917	2091
305	921	2089
306	923	2084
307	925	2080
308	928	2075
309	930	2071
310	932	2066
311	936	2064
312	938	2060
313	940	2055
314	943	2051
315	945	2046
316	948	2043
317	952	2043
318	955	2039
319	958	2036
320	961	2033
321	964	2030
322	968	2030
323	971	2027
324	974	2024
325	977	2021
326	980	2017
327	984	2017
328	987	2014
329	991	2012
330	993	2008
331	996	2004
332	1000	2004
333	1003	2001
334	1007	1999
335	1010	1996
336	1013	1993
337	1017	1993
338	1020	1990
339	1023	1987
340	1026	1984
341	1029	1981
342	1034	1981
343	1037	1978
344	1040	1975
345	1043	1972
346	1046	1969
347	1051	1969
348	1054	1966
349	1057	1963
350	1060	1960
351	1064	1960
352	1068	1959
353	1071	1956
354	1074	1952
355	1077	1950
356	1082	1949
357	1084	1945
358	1087	1942
359	1090	1939
360	1093	1936
361	1098	1936
362	1101	1932
363	1104	1929
364	1108	1927
365	1113	1929
366	1116	1926
367	1119	1922
368	1122	1919
369	1125	1916
370	1129	1914
371	1132	1911
372	1135	1908
373	1138	1905
374	1140	1901
375	1145	1900
376	1148	1897
377	1151	1894
378	1154	1891
379	1157	1887
380	1162	1888
381	1166	1886
382	1169	1884
383	1173	1883
384	1179	1884
385	1183	1882
386	1186	1879
387	1190	1877
388	1196	1879
389	1199	1876
390	1203	1874
391	1207	1873
392	1213	1874
393	1216	1871
394	1222	1872
395	1225	1869
396	1229	1867
397	1233	1865
398	1253	1887
399	1257	1885
400	1260	1882
401	1263	1879
402	1267	1877
403	1271	1876
404	1275	1873
405	1278	1870
406	1281	1867
407	1284	1864
408	1289	1862
409	1292	1859
410	1295	1856
411	1298	1853
412	1303	1852
413	1306	1849
414	1309	1846
415	1312	1843
416	1315	1839
417	1320	1838
418	1324	1836
419	1327	1832
420	1330	1829
421	1335	1828
422	1338	1825
423	1341	1822
424	1344	1819
425	1347	1815
426	1353	1815
427	1356	1812
428	1359	1808
429	1361	1805
430	1364	1801
431	1368	1799
432	1371	1796
433	1374	1792
434	1377	1789
435	1381	1787
436	1384	1784
437	1387	1780
438	1390	1776
439	1393	1773
440	1397	1771
441	1400	1768
442	1403	1764
443	1406	1760
444	1409	1757
445	1412	1754
446	1416	1752
447	1419	1748
448	1422	1745
449	1424	1741
450	1428	1739
451	1432	1736
452	1435	1732
453	1438	1729
454	1441	1726
455	1444	1723
456	1448	1720
457	1451	1717
458	1454	1713
459	1456	1710
460	1459	1706
461	1464	1705
462	1467	1701
463	1470	1698
464	1472	1694
465	1476	1691
466	1480	1689
467	1483	1686
468	1486	1683
469	1489	1679
470	1494	1678
471	1496	1674
472	1499	1671
473	1502	1667
474	1505	1664
475	1510	1662
476	1513	1659
477	1516	1655
478	1519	1652
479	1522	1649
480	1526	1647
481	1529	1643
482	1532	1640
483	1535	1636
484	1538	1633
485	1543	1632
486	1546	1628
487	1550	1626
488	1552	1622
489	1555	1618
490	1559	1616
491	1561	1612
492	1563	1608
493	1566	1604
494	1568	1600
495	1570	1596
496	1574	1593
497	1576	1589
498	1579	1585
499	1581	1581
500	1583	1577
501	1586	1573
502	1589	1570
503	1592	1566
504	1594	1562
505	1597	1559
506	1600	1556
507	1602	1552
508	1605	1549
509	1608	1545
510	1611	1541
511	1613	1537
512	1615	1533
513	1617	1529
514	1620	1526
515	1623	1522
516	1625	1519
517	1628	1515
518	1630	1511
519	1632	1507
520	1634	1503
521	1638	1500
522	1641	1496
523	1643	1492
524	1645	1488
525	1647	1484
526	1650	1481
527	1652	1477
528	1655	1474
529	1658	1470
530	1660	1466
531	1662	1462
532	1665	1459
533	1667	1455
534	1670	1452
535	1673	1448
536	1675	1444
537	1678	1440
538	1680	1437
539	1682	1433
540	1685	1430
541	1688	1426
542	1690	1422
543	1692	1419
544	1695	1415
545	1697	1411
546	1699	1407
547	1702	1404
548	1705	1401
549	1707	1397
550	1710	1394
551	1713	1390
552	1715	1386
553	1718	1383
554	1721	1380
555	1723	1376
556	1725	1372
557	1728	1368
558	1730	1365
559	1732	1361
560	1735	1358
561	1738	1354
562	1741	1351
563	1743	1347
564	1745	1344
565	1748	1340
566	1751	1337
567	1754	1334
568	1756	1330
569	1759	1327
570	1761	1323
571	1764	1319
572	1767	1317
573	1769	1313
574	1772	1309
575	1774	1306
576	1776	1302
577	1778	1298
578	1781	1295
579	1784	1292
580	1787	1288
581	1789	1285
582	1791	1281
583	1793	1277
584	1795	1274
585	1799	1271
586	1802	1267
587	1804	1264
588	1806	1260
589	1808	1257
590	1811	1253
591	1814	1250
592	1817	1247
593	1819	1243
594	1822	1240
595	1824	1236
596	1826	1233
597	1836	1234
598	1838	1230
599	1840	1227
600	1842	1223
601	1845	1219
602	1848	1217
603	1850	1213
604	1853	1209
605	1855	1206
606	1858	1202
607	1860	1199
608	1863	1196
609	1866	1193
610	1868	1189
611	1870	1186
612	1873	1182
613	1875	1178
614	1877	1175
615	1880	1172
616	1883	1169
617	1885	1165
618	1887	1162
619	1890	1158
620	1892	1154
621	1895	1152
622	1898	1148
623	1900	1145
624	1902	1141
625	1905	1138
626	1907	1134
627	1910	1131
628	1913	1128
629	1916	1125
630	1918	1121
631	1920	1118
632	1922	1114
633	1925	1111
634	1928	1108
635	1931	1105
636	1933	1101
637	1935	1098
638	1938	1094
639	1940	1091
640	1943	1088
641	1946	1085
642	1948	1081
643	1950	1078
644	1953	1075
645	1955	1071
646	1957	1068
647	1961	1065
648	1963	1061
649	1965	1058
650	1968	1055
651	1970	1051
652	1972	1048
653	1976	1045
654	1978	1042
655	1980	1038
656	1983	1035
657	1986	1032
658	1989	1029
659	1992	1026
660	1995	1023
661	1997	1020
662	2000	1016
663	2002	1013
664	2004	1009
665	2008	1007
666	2010	1003
667	2012	1000
668	2015	997
669	2017	993
670	2019	990
671	2022	986
672	2025	984
673	2027	980
674	2029	977
675	2032	974
676	2034	970
677	2036	967
678	2040	964
679	2043	961
680	2045	958
681	2048	955
682	2051	952
683	2055	949
684	2059	946
685	2062	943
686	2065	940
687	2067	937
688	2072	935
689	2075	932
690	2078	929
691	2080	926
692	2083	923
693	2089	921
694	2091	918
695	2094	914
696	2097	911
697	2100	908
698	2104	906
699	2108	903
700	2112	900
701	2114	897
702	2117	894
703	2121	892
704	2124	888
705	2126	885
706	2128	882
707	2130	878
708	2133	875
709	2136	872
710	2138	869
711	2141	866
712	2143	862
713	2145	859
714	2148	856
715	2150	852
716	2153	849
717	2155	846
718	2158	843
719	2161	840
720	2163	837
721	2164	833
722	2167	830
723	2169	827
724	2171	823
725	2174	820
726	2177	817
727	2180	814
728	2182	811
729	2184	808
730	2187	804
731	2189	801
732	2194	799
733	2196	796
734	2199	792
735	2201	789
736	2203	786
737	2206	783
738	2209	780
739	2212	777
740	2214	774
741	2217	771
742	2219	767
743	2223	765
744	2226	762
745	2229	758
746	2231	755
747	2233	752
748	2236	749
749	2239	746
750	2242	743
751	2244	740
752	2246	736
753	2248	733
754	2251	730
755	2253	727
756	2256	724
757	2258	721
758	2261	717
759	2263	714
760	2265	711
761	2268	708
762	2270	705
763	2274	702
764	2276	699
765	2279	696
766	2281	693
767	2283	689
768	2285	686
769	2289	683
770	2291	680
771	2294	677
772	2296	674
773	2298	671
774	2300	668
775	2304	665
776	2307	662
777	2309	659
778	2311	655
779	2313	652
780	2316	649
781	2318	646
782	2321	643
783	2324	640
784	2326	637
785	2328	634
786	2331	630
787	2333	627
788	2336	624
789	2339	621
790	2341	618
791	2343	615
792	2346	612
793	2348	609
794	2352	606
795	2356	603
796	2358	600
797	2360	597
798	2363	594
799	2365	591
800	2369	588
801	2371	585
802	2373	582
803	2376	579
804	2378	576
805	2380	573
806	2383	569
807	2386	567
808	2388	563
809	2391	560
810	2393	557
811	2395	554
812	2398	551
813	2401	548
814	2403	545
815	2406	542
816	2408	539
817	2411	536
818	2413	533
819	2417	530
820	2419	527
821	2422	524
822	2424	521
823	2427	518
824	2429	515
825	2433	512
826	2435	509
827	2438	506
828	2440	503
829	2443	500
830	2445	497
831	2449	494
832	2452	491
833	2454	488
834	2457	485
835	2459	482
836	2461	479
837	2465	476
838	2468	473
839	2470	470
840	2473	467
841	2475	464
842	2478	461
843	2481	458
844	2484	455
845	2487	452
846	2489	449
847	2491	446
848	2494	443
849	2533	447
850	2539	444
851	2543	441
852	2550	439
853	2555	436
854	2560	434
855	2588	435
856	2591	432
857	2595	429
858	2603	427
859	2608	424
860	2615	422
861	2617	419
862	2619	415
863	2622	412
864	2624	409
865	2628	406
866	2630	403
867	2632	400
868	2635	397
869	2637	394
870	2639	390
871	2641	387
872	2645	384
873	2647	381
874	2649	378
875	2652	375
876	2654	372
877	2656	369
878	2660	366
879	2662	363
880	2664	359
881	2667	356
882	2669	353
883	2672	350
884	2675	347
885	2678	344
886	2680	341
887	2682	338
888	2685	335
889	2687	332
890	2689	329
891	2693	326
892	2695	322
893	2697	319
894	2700	316
895	2702	313
896	2704	310
897	2708	307
898	2710	304
899	2713	301
900	2715	298
901	2717	295
902	2720	292
903	2722	289
904	2726	286
905	2728	283
906	2730	280
907	2733	276
908	2735	273
909	2737	270
910	2740	267
911	2745	264
912	2748	261
913	2750	258
914	2752	255
915	2757	252
916	2760	249
917	2763	246
918	2766	243
919	2768	240
920	2772	237
921	2775	234
922	2777	231
923	2780	228
924	2782	225
925	2785	222
926	2808	221
927	2813	218
928	2818	215
929	2824	212
930	2827	209
931	2831	206
932	2834	203
933	2845	201
934	2852	198
935	2857	195
936	2861	192
937	2864	189
938	2869	186
939	2873	183
940	2877	180
941	2880	177
942	2882	174
943	2886	171
944	2889	168
945	2892	165
946	2894	162
947	2897	158
948	2899	155
949	2903	152
950	2905	149
951	2908	146
952	2910	143
953	2912	140
954	2915	137
955	2919	134
956	2921	131
957	2923	128
958	2925	125
959	2928	122
960	2930	118
961	2933	115
962	2936	112
963	2938	109
964	2941	106
965	2943	103
966	2945	100
967	2948	97
968	2951	94
969	2953	91
970	2956	88
971	2958	85
972	2960	82
973	2963	79
974	2966	76
975	2968	73
976	2971	69
977	2973	66
978	2975	63
979	2978	60
980	2981	57
981	2983	54
982	2986	51
983	2988	48
984	2991	45
985	2993	42
986	2995	39
987	2998	36
988	3001	33
989	3003	30
990	3006	27
991	3008	24
992	3010	21
993	3013	18
994	3016	15
995	3018	12
996	3022	9
997	3025	6
998	3027	3
999	3031	0
