iter	RMSE
0	0.9548813807
1	0.9180743633
2	0.8827480864
3	0.8505014804
4	0.8181265641
5	0.7885951241
6	0.7634028232
7	0.7378122996
8	0.7148990022
9	0.6930507835
10	0.6722182926
11	0.654004386
12	0.6371043665
13	0.6219215492
14	0.6071902921
15	0.5931971354
16	0.5799781767
17	0.5706290893
18	0.5601247588
19	0.549029993
20	0.5400540296
21	0.5317430401
22	0.5238365637
23	0.5158001957
24	0.5094398962
25	0.5026395227
26	0.4966030275
27	0.4908751424
28	0.4859295162
29	0.4812678127
30	0.476979273
31	0.4734189171
32	0.4700063683
33	0.4670992382
34	0.4638624927
35	0.4612890199
36	0.4584469175
37	0.4555530946
38	0.4526616885
39	0.4504173937
40	0.4482893346
41	0.4467003609
42	0.4445744382
43	0.4431357144
44	0.4416164507
45	0.4401953244
46	0.4397918227
47	0.437741038
48	0.4359144204
49	0.434401633
50	0.4330424567
51	0.4313067931
52	0.4298968858
53	0.4286422999
54	0.4272833564
55	0.426050465
56	0.4248241566
57	0.4239146022
58	0.4228178094
59	0.4220176006
60	0.4211408749
61	0.420287549
62	0.4193171033
63	0.4184917041
64	0.4178532314
65	0.4169124248
66	0.415756873
67	0.4149062164
68	0.4142199087
69	0.4132278891
70	0.4126282095
71	0.411857225
72	0.4110617144
73	0.4104190286
74	0.4100385735
75	0.4091105092
76	0.4085710912
77	0.4080014713
78	0.4076092158
79	0.4066685377
80	0.4061032867
81	0.4055725335
82	0.4050774119
83	0.4047290851
84	0.4039294579
85	0.403225374
86	0.4024167034
87	0.4019638201
88	0.4012988998
89	0.4008521935
90	0.4002370186
91	0.3994473669
92	0.3990662837
93	0.3986814791
94	0.3983177203
95	0.3977927575
96	0.3974783919
97	0.3968711677
98	0.3963541137
99	0.3957580648
100	0.3954568271
101	0.3950276165
102	0.3945822644
103	0.3942073352
104	0.3936063715
105	0.3931367874
106	0.3926078252
107	0.3922238648
108	0.3918336538
109	0.3912524811
110	0.3908064454
111	0.3903423712
112	0.3900662191
113	0.3897328286
114	0.3893977036
115	0.3889064337
116	0.3887199728
117	0.3884267055
118	0.3880028321
119	0.3874708511
120	0.387028644
121	0.3864524501
122	0.3861225511
123	0.3856887238
124	0.3852668242
125	0.3848584221
126	0.3845505919
127	0.3842521112
128	0.3838110566
129	0.383345739
130	0.3830675824
131	0.3825192746
132	0.3821977484
133	0.3819817557
134	0.3814407606
135	0.3811491561
136	0.3808745133
137	0.3806444898
138	0.3803962089
139	0.3801213979
140	0.3796030135
141	0.3795729777
142	0.3789745055
143	0.3785496321
144	0.3783141759
145	0.3780374863
146	0.3775734608
147	0.37728622
148	0.376843157
149	0.3763825338
150	0.3761294
151	0.3757238625
152	0.3754028408
153	0.3751146743
154	0.3746883321
155	0.374439668
156	0.3739774488
157	0.3737481546
158	0.3733634904
159	0.3729120697
160	0.3725448998
161	0.3722257475
162	0.3718645907
163	0.3716418629
164	0.3713913682
165	0.3711514703
166	0.3708233833
167	0.3704570512
168	0.3701158624
169	0.3698950239
170	0.3696452903
171	0.3693931108
172	0.3689610568
173	0.3687557443
174	0.3682625663
175	0.367932259
176	0.3675150059
177	0.3669566797
178	0.3667135041
179	0.3663053961
180	0.3659478112
181	0.3655396543
182	0.3652995208
183	0.3651150447
184	0.3649141717
185	0.3645749316
186	0.3643633782
187	0.364055505
188	0.3638298785
189	0.363414649
190	0.3630596051
191	0.3628549774
192	0.3626567695
193	0.3624700542
194	0.3622222604
195	0.3620263104
196	0.3616612188
197	0.3613398263
198	0.3611402204
199	0.3609807015
200	0.3606435293
201	0.3604974684
202	0.3602123939
203	0.3599211339
204	0.359622082
205	0.35946157
206	0.3591657802
207	0.3589948033
208	0.3588510365
209	0.3585864845
210	0.358336708
211	0.3580496309
212	0.3577366921
213	0.3574946936
214	0.3571754161
215	0.3569580024
216	0.3568079348
217	0.356446113
218	0.3561354511
219	0.3559370795
220	0.3556933211
221	0.3554124334
222	0.3552004468
223	0.3547470101
224	0.3545691875
225	0.3543445785
226	0.3542017478
227	0.3540849202
228	0.3538715613
229	0.3536251044
230	0.3533267627
231	0.3531098244
232	0.3528372256
233	0.3524936706
234	0.3523442327
235	0.3521628309
236	0.3520519206
237	0.3517552065
238	0.3515355277
239	0.3513699613
240	0.3510639656
241	0.350904246
242	0.3507627483
243	0.3506304802
244	0.3503477451
245	0.3501872877
246	0.3500065955
247	0.3496248007
248	0.3493745941
249	0.3490838723
250	0.3487527217
251	0.3485435642
252	0.3483905688
253	0.3482200398
254	0.3479761655
255	0.347676004
256	0.3474059446
257	0.3472334227
258	0.3470959365
259	0.3468462313
260	0.3467025077
261	0.3465862961
262	0.3464560804
263	0.3461941805
264	0.3459727274
265	0.345792836
266	0.3456006699
267	0.3453643921
268	0.3451109707
269	0.3448953149
270	0.344681434
271	0.3445571776
272	0.3444367072
273	0.3442792367
274	0.3439986841
275	0.3437763593
276	0.3435815741
277	0.3433343201
278	0.3431625401
279	0.3429506994
280	0.3427923945
281	0.3426514834
282	0.3425519444
283	0.342273664
284	0.342122849
285	0.3419749093
286	0.3417598234
287	0.3415715628
288	0.3412439141
289	0.3410421557
290	0.340864758
291	0.3406813486
292	0.3405622784
293	0.3403170659
294	0.3401702193
295	0.3400428244
296	0.3398759195
297	0.3397880164
298	0.3395575506
299	0.3394245935
300	0.3392240636
301	0.3388330655
302	0.3387086052
303	0.3384421938
304	0.338139616
305	0.3380308317
306	0.3379050653
307	0.3377714306
308	0.3375342618
309	0.3373586384
310	0.3372004228
311	0.3370188426
312	0.3368413184
313	0.3366694301
314	0.3364485687
315	0.3361411179
316	0.3360292461
317	0.3358920301
318	0.3357358574
319	0.3356043932
320	0.3354732519
321	0.3352091808
322	0.3351139301
323	0.3350151631
324	0.3348757438
325	0.3347311024
326	0.3346311543
327	0.3344436433
328	0.3343269128
329	0.3340883238
330	0.333810466
331	0.3336876057
332	0.3335067355
333	0.3333824119
334	0.3331460167
335	0.3329588983
336	0.3328374297
337	0.3326676131
338	0.3325827958
339	0.3324672026
340	0.3322903401
341	0.3320395756
342	0.3319240469
343	0.3318121629
344	0.331622534
345	0.3314539241
346	0.3313702565
347	0.3311161015
348	0.3309119405
349	0.3307203717
350	0.3306071754
351	0.3304587998
352	0.3301423798
353	0.3300496878
354	0.3299313704
355	0.3296456293
356	0.3295371106
357	0.3294268392
358	0.3293289346
359	0.3290499712
360	0.3287319031
361	0.3286241304
362	0.3284839145
363	0.3283672211
364	0.3282366561
365	0.3280902548
366	0.3279712617
367	0.3278746605
368	0.3277673465
369	0.3276016047
370	0.3275094145
371	0.3273628519
372	0.3271776186
373	0.3271001967
374	0.3268754805
375	0.3267428342
376	0.3266416414
377	0.3264465422
378	0.3262948773
379	0.3261934438
380	0.3260380565
381	0.3259572799
382	0.325821964
383	0.3257294912
384	0.3255358103
385	0.325448264
386	0.3252768241
387	0.3251544112
388	0.3250655115
389	0.3249237069
390	0.3247859328
391	0.3246470243
392	0.3245781086
393	0.3245067744
394	0.32442869
395	0.3243444095
396	0.3242289552
397	0.3241018431
398	0.3239352221
399	0.32380593
400	0.3237106571
401	0.3236305789
402	0.3234862321
403	0.3233225292
404	0.3231886226
405	0.323075067
406	0.3228723292
407	0.3227610033
408	0.3226762547
409	0.3226042335
410	0.3225015819
411	0.3223702821
412	0.3221559043
413	0.3220849781
414	0.3218406201
415	0.3216948119
416	0.321560716
417	0.3213931742
418	0.3212729012
419	0.3212069645
420	0.3210422607
421	0.3208059803
422	0.3206334522
423	0.3205608558
424	0.3204404978
425	0.3203303857
426	0.3201351463
427	0.3199707232
428	0.3198866291
429	0.3197826773
430	0.3197167357
431	0.3196187794
432	0.3195608261
433	0.3194950251
434	0.3194228104
435	0.3193365188
436	0.3191768156
437	0.3190904206
438	0.3189951979
439	0.3187367263
440	0.3186034372
441	0.3183583998
442	0.3181844203
443	0.3181081954
444	0.3180388499
445	0.3179131198
446	0.3177798332
447	0.3176746278
448	0.3175402795
449	0.3174677017
450	0.3173740604
451	0.3172855649
452	0.3172187955
453	0.3171637544
454	0.3170615748
455	0.3168871093
456	0.3168022863
457	0.3167526268
458	0.316697162
459	0.3166440607
460	0.3165633589
461	0.3164344455
462	0.3163099841
463	0.3162480471
464	0.316183791
465	0.3160381605
466	0.3159528235
467	0.3158700942
468	0.3157257177
469	0.3156163497
470	0.3155060831
471	0.3153878403
472	0.315240548
473	0.3151677501
474	0.3150225535
475	0.3149256221
476	0.3148105357
477	0.3147387679
478	0.3146243072
479	0.3145475868
480	0.3144544886
481	0.3143284057
482	0.3142374232
483	0.3141559207
484	0.3140804844
485	0.3140248064
486	0.3138971573
487	0.3138274698
488	0.3136958818
489	0.3136049601
490	0.3134897797
491	0.3133741202
492	0.3132979305
493	0.3131888706
494	0.3130999813
495	0.3129772036
496	0.3128458746
497	0.3127514804
498	0.3126519156
499	0.312558049
500	0.312437752
501	0.3123437795
502	0.312257928
503	0.3121473559
504	0.3121056732
505	0.3119591554
506	0.3118749511
507	0.3117558065
508	0.3116445641
509	0.3115958701
510	0.3114962314
511	0.3113425184
512	0.3112417848
513	0.3110368577
514	0.3109311292
515	0.310820767
516	0.3106607991
517	0.3105040358
518	0.3103425246
519	0.3102485702
520	0.3101466563
521	0.3100543351
522	0.3099791857
523	0.309864293
524	0.3098005464
525	0.3096875933
526	0.3096017291
527	0.3095148321
528	0.3093944428
529	0.3092912587
530	0.3091620907
531	0.3090650487
532	0.3089465708
533	0.3088894617
534	0.3088420985
535	0.3087664111
536	0.3086783331
537	0.3085969365
538	0.3084776995
539	0.3083811497
540	0.3082991952
541	0.3082401718
542	0.3081672828
543	0.3080908048
544	0.3079947275
545	0.307929969
546	0.3078158849
547	0.3077682383
548	0.3076135644
549	0.3075193921
550	0.3074349489
551	0.3073568861
552	0.3072493734
553	0.3071730513
554	0.3071159657
555	0.3070567074
556	0.3068829343
557	0.3068296285
558	0.3067280872
559	0.3066600611
560	0.3065782561
561	0.306492329
562	0.3064160774
563	0.3063416864
564	0.3062617936
565	0.306137858
566	0.3060684662
567	0.306007704
568	0.3059095004
569	0.3058378401
570	0.3057895299
571	0.3057438949
572	0.305691386
573	0.3056069502
574	0.3055168766
575	0.3054743366
576	0.3053866455
577	0.3052831977
578	0.3051692351
579	0.3050652284
580	0.3049139184
581	0.3048475174
582	0.3047399455
583	0.3046597512
584	0.3045738853
585	0.3045397413
586	0.3043952812
587	0.3042992399
588	0.30419667
589	0.304109087
590	0.3040104418
591	0.3039529809
592	0.303854797
593	0.3037732457
594	0.3037101211
595	0.303656428
596	0.3035915615
597	0.3035456419
598	0.3034811912
599	0.3034218273
600	0.3033196641
601	0.303224504
602	0.3030798157
603	0.3029392206
604	0.302798195
605	0.3027167813
606	0.3026392828
607	0.3025686679
608	0.3025016649
609	0.3024361693
610	0.3023428404
611	0.3022548339
612	0.3021740415
613	0.3020462563
614	0.301979563
615	0.3019344999
616	0.3018607209
617	0.3017757478
618	0.3017174249
619	0.3016760043
620	0.301582425
621	0.301476728
622	0.301398007
623	0.3013149142
624	0.3011967775
625	0.3011300328
626	0.3010035405
627	0.3009228311
628	0.300876332
629	0.3007846888
630	0.3007122327
631	0.3006334471
632	0.3005179968
633	0.3004812197
634	0.3003074416
635	0.3002743979
636	0.3002406654
